UniqueID2	UniqueID	Batch123	CageID	ALL	Batch2	Batch1	Batch3	RQ_48hours	RQ_24hours_1	RQ_24hours_2	RQ_5h_Day1	RQ_12h_Night1	RQ_12h_Day2	RQ_12h_Night2	RQ_7h_Day3	kcal_hr_48hours	kcal_hr_24hours_1	kcal_hr_24hours_2	kcal_hr_5h_Day1	kcal_hr_12h_Night1	kcal_hr_12h_Day2	kcal_hr_12h_Night2	kcal_hr_7h_Day3	food_48hours	food_24hours_1	food_24hours_2	food_5h_Day1	food_12h_Night1	food_12h_Day2	food_12h_Night2	food_7h_Day3	water_48hours	water_24hours_1	water_24hours_2	water_5h_Day1	water_12h_Night1	water_12h_Day2	water_12h_Night2	water_7h_Day3	xbreak_48hours	xbreak_24hours_1	xbreak_24hours_2	xbreak_5h_Day1	xbreak_12h_Night1	xbreak_12h_Day2	xbreak_12h_Night2	xbreak_7h_Day3	ybreak_48hours	ybreak_24hours_1	ybreak_24hours_2	ybreak_5h_Day1	ybreak_12h_Night1	ybreak_12h_Day2	ybreak_12h_Night2	ybreak_7h_Day3	zbreak_48hours	zbreak_24hours_1	zbreak_24hours_2	zbreak_5h_Day1	zbreak_12h_Night1	zbreak_12h_Day2	zbreak_12h_Night2	zbreak_7h_Day3	ped_m_48hours	ped_m_24hours_1	ped_m_24hours_2	ped_m_5h_Day1	ped_m_12h_Night1	ped_m_12h_Day2	ped_m_12h_Night2	ped_m_7h_Day3	all_m_48hours	all_m_24hours_1	all_m_24hours_2	all_m_5h_Day1	all_m_12h_Night1	all_m_12h_Day2	all_m_12h_Night2	all_m_7h_Day3	UniqueID2	BW_3w	fat_3w	lean_3w	F.water_3w	T.water_3w	BW_4w	fat_4w	lean_4w	F.water_4w	T.water_4w	BW_5w	BW_6w	fat_6w	lean_6w	F.water_6w	T.water_6w	BW_7w	BW_8w	fat_8w	lean_8w	F.water_8w	T.water_8w	BW_8w_final	TBL	TL	EL	HFL	BL	BMI	Small_Int_mm	Small_Int_g	Cecum_mm	Cecum_g	Large_int_mm	Large_int_g	Fat_pad
B6-011	Batch1_5	Batch1_GFNY	5	GFNY	NA	GFNY	NA	0.8218213	0.8404749	0.7976645	0.824434	0.8943165	0.7498968	0.8690447	0.708609	0.45270655	0.474628	0.4300366	0.4955103	0.5123668	0.36576145	0.5390153	0.3482725	12.61959	5.229653	7.389937	0.5590738	2.9644012	3.018216	4.829719	1.24818	9.538763	4.641338	4.897425	0.572112	3.707314	0.819489	4.181607	0.258241	34738	22227	12511	7234	13079	4033	9834	558	51072	32612	18460	9099.2	21224.8	5313	14479	956	35170	18598	16572	5352.6	11787.4	3724.67	13455.33	850	328.6488	207.0723	121.5765	69.39113	124.50067	30.9683	98.5143	5.2744	423.9987	266.3133	157.6854	86.84076	161.27624	42.266	126.586	7.0297	B6-011	8.3	NA	NA	NA	NA	12.48	1.3	10.74	0.17	9.91	17.36	21.05	1.36	19.13	0.34	17.34	23.21	24.34	1.05	23.02	0.21	20.49	24.62	189	92	13	19	97	0.00262	295	1.19	27	0.66	70	0.35	0.19
B6-012	Batch1_6	Batch1_GFNY	6	GFNY	NA	GFNY	NA	0.78085305	0.7831143	0.7761071	0.7599636	0.8481925	0.6582239	0.8638891	0.6815121	0.4808663	0.5123183	0.4400465	0.5385551	0.5680455	0.36252125	0.54474385	0.3631813	6.647053	3.645861	3.001192	0.9371474	2.6574616	0.097482	2.883543	0.071419	10.14573	4.756769	5.388961	0.9464998	3.6017912	0.476111	4.794755	0.326573	41286	28430	12856	11110.93	15038.07	3290	10294.13	1552.87	63618	42138	21480	14598	24834.27	5010.73	16802.46	2372.54	40856	25185	15671	9345.4	14785.8	2819.13	12771.67	1134	422.5039	309.943	112.5609	125.8425	160.4497	36.1371	84.206	15.8686	527.6635	376.7567	150.9068	150.6682	197.0895	45.4682	114.347	20.0906	B6-012	10	NA	NA	NA	NA	15.31	1.54	12.39	0.09	12.25	19.56	22.54	2	20.22	0.18	17.82	24.28	24.9	1.59	21.44	0	18.74	24.78	190	90	13	19.1	100	0.00248	307	1.33	34	0.69	60	0.41	0.16
B6-013	Batch1_7	Batch1_GFNY	7	GFNY	NA	GFNY	NA	0.81381685	0.8346612	0.7888697	0.8016209	0.8727162	0.71993205	0.8700746	0.7128698	0.44221405	0.4425219	0.4401803	0.5029375	0.48178125	0.3602722	0.53155075	0.3488042	4.774188	2.89088	1.883308	0.9961092	1.8380808	0.230415	1.628407	0.081176	7.996832	3.993959	4.002873	0.2943728	3.2049652	1.026052	3.107009	0.364433	51802	28616	23186	9532.667	15399.803	6985.13	16299.94	3584.46	78069	41032	37037	14154.47	20696.13	12414.4	24109	6695	27022	13248	13774	4878	7428	2792.33	9698.47	2225.2	530.0297	300.7024	229.3273	128.5605	136.558	69.1203	162.0258	33.7651	646.0197	364.345	281.6747	149.4306	169.5775	88.6179	195.3989	42.9948	B6-013	9.37	NA	NA	NA	NA	12.69	1.17	10.99	0.26	10.38	17.16	20.51	1.91	18.39	0.02	16.4	22.85	24.4	2.08	22.01	0.57	19.65	23.2	187	85.5	12.5	19.3	101.5	0.00225	316	1.07	28	0.72	75	0.28	0.21
B6-014	Batch1_8	Batch1_GFNY	8	GFNY	NA	GFNY	NA	0.81538815	0.8121296	0.820709	0.8239698	0.8519404	0.68820045	0.8806613	0.7105091	0.45889995	0.4813735	0.4361518	0.5273945	0.529921	0.36496985	0.5305909	0.338588	11.28644	3.507668	7.778772	0.9029096	2.0441184	1.931609	4.930846	1.476957	8.992973	4.531163	4.46181	0.6956221	3.5024659	0.484403	4.03608	0.274402	46138	28648	17490	11192.73	15025.27	3776	14794.87	1349.13	63190	40082	23108	12446.4	22644.14	8990.92	17848.54	1260	53447	29395	24052	8876.2	18992.47	4758.26	19709.07	1111	540.9822	359.683	181.2992	147.0706	186.5076	42.5145	154.2086	10.6809	639.5961	419.8161	219.78	164.178	221.197	56.305	184.5311	13.385	B6-014	8.42	NA	NA	NA	NA	11.94	1.37	9.95	0.29	9.3	17.46	20.9	1.9	18.47	0.03	16.33	21.35	22.1	1.49	19.29	0.23	17.39	21.94	188	91	13	19	97	0.00233	293	1.21	28	0.56	64	0.34	0.14
B6-015	Batch1_13	Batch1_GFNY	13	GFNY	NA	GFNY	NA	0.83057365	0.8532271	0.8072306	0.7998253	0.89036105	0.7628601	0.88047775	0.7266907	0.46180605	0.4928225	0.421291	0.5250333	0.54175865	0.36600045	0.52055425	0.3445311	6.81317	3.48018	3.33299	0.486651	2.287495	0.755146	3.02664	0.257238	9.092932	4.950738	4.142194	0.4710684	4.0242566	0.5033	3.709214	0.385093	50012	32851	17161	12607.8	16160.2	5880.93	12748.27	2614.8	72584	44884	27700	14136.07	23576.13	10491.26	19107.34	5273.2	38096	21558	16538	6441.733	13885.267	2067	14348	1354	495.8415	323.3974	172.4441	133.1769	165.6007	40.6211	129.311	27.1318	614.563	394.0988	220.4642	154.5228	203.4193	58.052	163.4172	35.1517	B6-015	8.07	NA	NA	NA	NA	11.93	1.12	10.44	0.25	9.63	18.12	22.65	1.81	20.63	0.42	18.21	24.64	25.33	2.03	23.08	0	19.98	25.77	191	91	13	20	100	0.00258	286	1.47	30	0.9	83	0.63	0.28
B6-016	Batch1_14	Batch1_GFNY	14	GFNY	NA	GFNY	NA	0.80279795	0.803359	0.8000802	0.7790522	0.8769516	0.7225451	0.88326545	0.709971	0.46532805	0.4960363	0.4316765	0.5186833	0.5307798	0.34656665	0.52446475	0.3464922	7.391954	3.682254	3.7097	0.6894436	2.9225614	0.581973	2.852163	0.345813	8.825404	4.610268	4.215136	0.8194968	3.6851602	0.541352	3.180513	0.598882	42692	25447	17245	7928	14818	4219	13011	2716	79522	43526	35996	11605.47	24435.13	13562.07	21472.46	8446.87	40903	24657	16246	8384.8	14583.2	3190	12500	2245	498.8596	301.0029	197.8567	101.7356	165.7037	52.7246	142.0663	36.6294	616.6879	367.6456	249.0423	121.1879	204.2075	70.0163	176.5921	44.6841	B6-016	11.19	NA	NA	NA	NA	15.54	1.94	13.05	0.1	12.11	20.4	22.59	2.23	19.97	0.22	17.81	23.85	25.25	2.16	22.64	0.06	19.87	25.32	195	94	13	19.8	101	0.00248	332	1.49	31	0.71	78	0.34	0.29
B6-017	Batch1_15	Batch1_GFNY	15	GFNY	NA	GFNY	NA	0.87493665	0.8870504	0.8608561	0.8152003	0.92597685	0.7844992	0.9097423	0.7277549	0.40607925	0.4058707	0.4068961	0.4839978	0.42439015	0.34045485	0.48394935	0.3536578	8.470879	4.012971	4.457908	0.7553517	2.4772053	1.335999	3.597715	0.304608	8.666637	4.342732	4.323905	0.5825537	3.1486383	1.063155	3.837572	0.034718	37226	24144	13082	8758.467	11106.603	5553.8	10823.33	983.8	55750	34260	21490	10614.73	16381.74	10323.53	16658.87	1771.13	21822	11700	10122	4301.267	6075.003	2709.73	7827	909	293.1518	183.409	109.7428	79.0376	78.1644	38.7017	89.3598	7.8883	383.1936	238.6077	144.5859	97.88992	103.95838	53.9425	116.5936	10.8092	B6-017	8.78	NA	NA	NA	NA	13.39	1.24	11.67	0.26	11.05	18.14	21.88	1.99	19.68	0.04	17.6	23.25	23.3	1.79	21.49	0.2	18.66	24.58	191	92	14	19.7	99	0.00251	312	1.43	33	0.78	72	0.38	0.2
B6-018	Batch1_16	Batch1_GFNY	16	GFNY	NA	GFNY	NA	0.8283827	0.8407848	0.8200225	0.8008981	0.9070611	0.7365488	0.86884805	0.7689825	0.39196585	0.3940232	0.3919598	0.4832921	0.46729665	0.31985295	0.47035945	0.3293657	8.046774	3.188709	4.858065	0.86142	2.327289	0.710399	3.227761	0.919905	7.264952	3.583435	3.681517	0.7791408	2.7985572	0.439408	2.922085	0.325761	38140	22300	15840	9793.2	10971.93	4389.2	11264.67	1721	75034.13	42668.33	32365.8	12931.07	23393	12905.47	21144.26	4660.33	28998	14230	14768	5862.2	8239.8	3301.6	11322.4	272	376.7628	245.7518	131.011	114.8342	120.0053	30.9072	96.3196	14.6965	477.398	301.5102	175.8878	133.9207	151.0745	44.3913	126.8413	21.1702	B6-018	9.08	NA	NA	NA	NA	12.58	1.28	10.75	0.07	9.87	16.78	20.54	2.34	17.87	0.11	16	22.44	22.96	2.15	20.41	0.34	17.77	23.32	188	90	13	19.1	98	0.00243	303	1.58	30	0.92	64	0.54	0.23
B6-21	Batch2_1	Batch2_GFBR	1	GFBR	GFBR	NA	NA	0.8144596	0.812402	0.8174864	0.8483558	0.8286396	0.7877766	0.86619595	0.7647172	0.4653828	0.48402175	0.4535663	0.5074411	0.56155215	0.36009855	0.5947343	0.377256	7.468705	3.560529	3.908176	0.986436	2.296919	0.862772	2.991609	0.330969	11.32061	5.42804	5.89257	1.063881	4.10304	0.546556	5.070463	0.53667	63383.87	36312	27071.87	7861	22598.67	8333.13	16790.93	7800.14	63536.27	35758	27778.27	8461.066	21809.134	9593.07	18154.33	5518.67	36016.4	16685	19331.4	4296	11382	2507.07	15856.26	1975.07	503.7824	273.5236	230.2588	65.38227	182.33713	41.8522	175.5395	38.6713	631.8364	346.353	285.4834	81.94101	227.35009	60.1156	211.5021	50.9276	B6-21	8.06	NA	NA	NA	NA	16.41	1.45	14.66	0.17	13.87	21.43	24.58	1.26	22.99	0.28	19.97	25.32	25.56	0.85	24.09	0.23	21.37	25.37	187	91	12	19.8	96	0.00275	323	1.22	25	0.58	65	0.41	0.14
B6-22	Batch2_2	Batch2_GFBR	2	GFBR	GFBR	NA	NA	0.8030143	0.80415645	0.8018895	0.7867941	0.83337705	0.74927295	0.8607319	0.73313685	0.4660339	0.48955945	0.4085581	0.5537258	0.5645019	0.3948977	0.5327255	0.3540944	8.364945	4.563116	3.801829	0.9783279	3.2668591	0.773488	3.007284	0.338986	9.866159	5.583791	4.282368	0.9544433	4.1988967	0.769016	3.445936	0.497867	28780	16182	12598	2409	10859	3757.67	9434.33	2320	41858	23426	18432	4542.8	15939.2	4702.8	13307.2	3366	33032	19359	13673	4688.4	12293.2	3958.4	10870.6	1221.4	252.0628	146.2331	105.8297	25.83017	99.16103	29.6828	79.7661	17.6227	317.8522	183.9232	133.929	32.77853	124.46417	37.8363	100.4329	22.3403	B6-22	8.79	NA	NA	NA	NA	16.83	1.67	14.67	0.13	13.68	22.01	25.19	1.7	22.93	0.14	20.03	26.66	27.2	1.99	24.85	0.34	21.41	27.14	190	89	14	20	101	0.00266	300	1.33	35	0.75	76	0.51	0.18
B6-23	Batch2_3	Batch2_GFBR	3	GFBR	GFBR	NA	NA	0.7995486	0.79145645	0.8173603	0.7958234	0.82379075	0.76601405	0.86602805	0.74111805	0.4693538	0.48840235	0.4384326	0.5809993	0.5477509	0.40642205	0.56744965	0.41123565	10.91012	4.419228	6.490892	1.220761	2.936853	1.290373	4.060782	1.401351	8.10769	3.91509	4.1926	0.9178742	2.7568188	0.767405	3.332677	0.332915	38587	20011	18576	5877.133	11629.867	5499.53	11734.47	3846	67648	36546	31102	9217.066	20487.064	13087.27	18485.27	6371.33	27561	13944	13617	3275.867	9893.533	2048.6	10534.73	1808.27	320.8161	181.3523	139.4638	46.92043	105.53867	50.4337	87.5399	30.3834	440.3169	243.514	196.8029	63.09339	140.92421	70.9785	124.5692	40.7516	B6-23	7.96	NA	NA	NA	NA	16.08	1.57	14.21	0.25	13.24	21.75	24.53	1.19	23.2	0.14	20.59	25.72	25.32	0.72	24.17	0.32	21.49	25.11	185	83	13	19	102	0.00241	280	1.4	28	0.76	70	0.5	0.6
B6-24	Batch2_4	Batch2_GFBR	4	GFBR	GFBR	NA	NA	0.773171	0.7539298	0.7896994	0.7730222	0.7911753	0.7064578	0.8474164	0.7200412	0.5192706	0.5533956	0.4704573	0.6389	0.61454195	0.43724505	0.58854865	0.4084879	9.837139	5.21057	4.626569	2.046034	2.903551	1.03199	3.564878	0.290686	10.73378	5.676328	5.057452	1.409098	3.968308	0.924926	3.976428	0.45502	27232	16390	10842	4250.6	11313.87	2175.53	8700	792	39295	23896	15399	6100.8	16158.4	3565.8	11947	1523	29946	16084	13862	4691	10474.27	3116.73	10470	1194	296.7191	167.4944	129.2247	37.553	117.6614	26.6409	102.5508	12.313	361.9957	207.1987	154.797	47.95004	144.04776	32.9976	122.3337	14.6666	B6-24	9.11	NA	NA	NA	NA	14.88	1.51	13.17	0.15	12.25	20.07	22.04	0.99	20.78	0.1	18.41	24.21	26.88	0.66	25.75	0.09	22.52	26.86	186	86	13	19	100	0.00269	323	1.52	33	0.74	73	0.47	0.19
B6-25	Batch2_9	Batch2_GFBR	9	GFBR	GFBR	NA	NA	0.8447028	0.8320968	0.8582066	0.8157926	0.87302935	0.7753511	0.90314045	0.7371944	0.4725302	0.50627785	0.4419048	0.5119054	0.57068765	0.34838525	0.5306017	0.34287345	7.693986	4.167045	3.526941	1.042664	2.995801	0.721221	2.603965	0.330335	10.25736	5.267906	4.989454	0.5248403	4.6152697	0.471452	4.338177	0.307621	28434	15608	12826	4448	9428.67	2887.33	8738	2932	65189	34990	30199	6764	23472.4	8179.4	20424.2	6349	15861	7158	8703	1758	4772	3208	5278	845	401.9315	236.3108	165.6207	53.35455	159.69175	41.3264	116.042	31.5168	511.0437	294.1294	216.9143	66.6112	196.5627	55.4148	150.5038	41.9512	B6-25	7.9	NA	NA	NA	NA	14.45	1.57	12.93	0.28	12.09	20.79	23.71	1.51	21.94	0.1	19.3	24.95	25.63	1	24.33	0.41	21.4	24.92	180.5	84	13	19.5	96.5	0.00268	318	1.38	25	0.68	72	0.49	0.25
